rho_sim,scaled_rho_sim,theta_sim,genome_size_sim,depth_sim,seed_sim,mean,std,min,5%,25%,50%,75%,95%,max
0.05,25.0,0.01,50000.0,0.5,456.0,6.95,3.2032056312059445,0.0,3.8000000000000003,5.0,6.5,9.0,11.150000000000002,14.000000000000002
0.075,37.5,0.01,50000.0,0.5,456.0,8.65,6.5315026078069875,0.0,0.9500000000000001,2.0,6.5,16.0,16.0,16.0
0.1,50.0,0.01,50000.0,0.5,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,5.0,0.01,75000.0,0.5,456.0,1.45,0.887041208323017,0.0,0.0,1.0,1.5,2.0,3.0,3.0
0.025,12.5,0.01,75000.0,0.5,456.0,33.5,30.17928882005357,7.000000000000001,7.95,14.000000000000002,15.0,42.75,95.25,100.0
0.05,25.0,0.01,75000.0,0.5,456.0,0.15,0.6708203932499373,0.0,0.0,0.0,0.0,0.0,0.15000000000000213,3.0
0.075,37.5,0.01,75000.0,0.5,456.0,0.05,0.22360679774997888,0.0,0.0,0.0,0.0,0.0,0.05000000000000071,1.0
0.1,50.0,0.01,75000.0,0.5,456.0,9.45,3.691740425384896,2.0,3.9000000000000004,7.75,9.0,12.25,15.0,15.0
0.01,5.0,0.01,100000.0,0.5,456.0,0.5,0.6882472016116853,0.0,0.0,0.0,0.0,1.0,2.0,2.0
0.025,12.5,0.01,100000.0,0.5,456.0,7.55,11.46837757533847,0.0,0.0,1.0,4.0,10.25,19.650000000000023,51.0
0.05,25.0,0.01,100000.0,0.5,456.0,5.35,3.963982580024393,0.0,0.0,2.0,4.0,9.0,9.250000000000004,14.000000000000002
0.075,37.5,0.01,100000.0,0.5,456.0,28.75,18.24071501368645,1.0,10.5,12.0,23.0,50.0,50.400000000000006,57.99999999999999
0.1,50.0,0.01,100000.0,0.5,456.0,6.55,3.017056774233353,0.0,1.9000000000000001,4.0,7.000000000000001,9.0,10.0,10.0
0.01,5.0,0.01,10000.0,1.0,456.0,0.15,0.3663475485325232,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.025,12.5,0.01,10000.0,1.0,456.0,3.4,0.7539370349250519,2.0,2.95,3.0,3.0,4.0,5.0,5.0
0.05,25.0,0.01,10000.0,1.0,456.0,7.6,2.280350850198276,4.0,4.0,6.0,7.000000000000001,9.25,11.05,12.0
0.075,37.5,0.01,10000.0,1.0,456.0,1.7,1.2607433062326867,0.0,0.0,1.0,1.0,2.25,4.0,4.0
0.1,50.0,0.01,10000.0,1.0,456.0,7.05,2.4596747752497685,5.0,5.0,5.0,7.000000000000001,7.250000000000001,11.200000000000003,15.0
0.01,5.0,0.01,25000.0,1.0,456.0,0.15,0.36634754853252316,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.025,12.5,0.01,25000.0,1.0,456.0,2.75,0.910465468000326,1.0,1.0,2.0,3.0,3.0,4.0,4.0
0.05,25.0,0.01,25000.0,1.0,456.0,0.9,0.44721359549995776,0.0,0.0,1.0,1.0,1.0,1.0500000000000007,2.0
0.075,37.5,0.01,25000.0,1.0,456.0,9.2,1.7947291248483563,5.0,6.900000000000001,8.0,9.5,11.0,11.05,12.0
0.1,50.0,0.01,25000.0,1.0,456.0,3.9,0.7880689256524123,3.0,3.0,3.0,4.0,4.0,5.050000000000001,6.0
0.01,5.0,0.01,50000.0,1.0,456.0,0.95,0.22360679774997902,0.0,0.9500000000000001,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,50000.0,1.0,456.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.05,25.0,0.01,50000.0,1.0,456.0,3.3,0.5712405705774793,2.0,2.95,3.0,3.0,4.0,4.0,4.0
0.075,37.5,0.01,50000.0,1.0,456.0,5.75,1.2085223687584248,4.0,4.0,5.0,6.0,6.25,8.0,8.0
0.1,50.0,0.01,50000.0,1.0,456.0,4.3,0.7326950970650465,3.0,3.95,4.0,4.0,4.25,6.0,6.0
0.01,5.0,0.01,75000.0,1.0,456.0,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.025,12.5,0.01,75000.0,1.0,456.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
